scenario,episode_id,t_slot,t_time,agent_id,task_id
heavy,0,0,0.0,0,0
heavy,0,0,0.0,1,1
heavy,0,0,0.0,4,2
heavy,0,0,0.0,7,3
heavy,0,0,0.0,10,4
heavy,0,0,0.0,13,5
heavy,0,0,0.0,17,6
heavy,0,1,1.0,2,7
heavy,0,1,1.0,5,8
heavy,0,1,1.0,6,9
heavy,0,1,1.0,11,10
heavy,0,1,1.0,13,11
heavy,0,1,1.0,13,12
heavy,0,2,2.0,2,13
heavy,0,2,2.0,3,14
heavy,0,2,2.0,6,15
heavy,0,2,2.0,8,16
heavy,0,2,2.0,8,17
heavy,0,2,2.0,13,18
heavy,0,3,3.0,4,19
heavy,0,3,3.0,6,20
heavy,0,3,3.0,15,21
heavy,0,4,4.0,0,22
heavy,0,4,4.0,2,23
heavy,0,4,4.0,4,24
heavy,0,4,4.0,6,25
heavy,0,4,4.0,6,26
heavy,0,4,4.0,8,27
heavy,0,4,4.0,10,28
heavy,0,4,4.0,12,29
heavy,0,4,4.0,13,30
heavy,0,4,4.0,13,31
heavy,0,5,5.0,0,32
heavy,0,5,5.0,1,33
heavy,0,5,5.0,4,34
heavy,0,5,5.0,6,35
heavy,0,5,5.0,7,36
heavy,0,5,5.0,10,37
heavy,0,5,5.0,11,38
heavy,0,5,5.0,12,39
heavy,0,5,5.0,13,40
heavy,0,5,5.0,15,41
heavy,0,5,5.0,15,42
heavy,0,5,5.0,16,43
heavy,0,5,5.0,16,44
heavy,0,5,5.0,17,45
heavy,0,6,6.0,0,46
heavy,0,6,6.0,4,47
heavy,0,6,6.0,4,48
heavy,0,6,6.0,15,49
heavy,0,7,7.0,0,50
heavy,0,7,7.0,0,51
heavy,0,7,7.0,6,52
heavy,0,7,7.0,13,53
heavy,0,7,7.0,14,54
heavy,0,7,7.0,15,55
heavy,0,7,7.0,16,56
heavy,0,8,8.0,0,57
heavy,0,8,8.0,3,58
heavy,0,8,8.0,4,59
heavy,0,8,8.0,6,60
heavy,0,8,8.0,8,61
heavy,0,8,8.0,8,62
heavy,0,8,8.0,13,63
heavy,0,8,8.0,16,64
heavy,0,9,9.0,2,65
heavy,0,9,9.0,5,66
heavy,0,9,9.0,7,67
heavy,0,9,9.0,8,68
heavy,0,9,9.0,8,69
heavy,0,9,9.0,9,70
heavy,0,9,9.0,10,71
heavy,0,9,9.0,15,72
heavy,0,9,9.0,15,73
heavy,0,9,9.0,15,74
heavy,0,9,9.0,15,75
heavy,0,10,10.0,2,76
heavy,0,10,10.0,5,77
heavy,0,10,10.0,6,78
heavy,0,10,10.0,8,79
heavy,0,10,10.0,8,80
heavy,0,10,10.0,10,81
heavy,0,11,11.0,0,82
heavy,0,11,11.0,5,83
heavy,0,11,11.0,11,84
heavy,0,11,11.0,15,85
heavy,0,11,11.0,17,86
heavy,0,12,12.0,0,87
heavy,0,12,12.0,0,88
heavy,0,12,12.0,0,89
heavy,0,12,12.0,2,90
heavy,0,12,12.0,3,91
heavy,0,12,12.0,3,92
heavy,0,12,12.0,13,93
heavy,0,12,12.0,15,94
heavy,0,12,12.0,16,95
heavy,0,13,13.0,3,96
heavy,0,13,13.0,6,97
heavy,0,13,13.0,8,98
heavy,0,13,13.0,10,99
heavy,0,13,13.0,10,100
heavy,0,13,13.0,10,101
heavy,0,13,13.0,12,102
heavy,0,13,13.0,14,103
heavy,0,13,13.0,15,104
heavy,0,13,13.0,15,105
heavy,0,13,13.0,16,106
heavy,0,14,14.0,0,107
heavy,0,14,14.0,0,108
heavy,0,14,14.0,0,109
heavy,0,14,14.0,6,110
heavy,0,14,14.0,13,111
heavy,0,14,14.0,14,112
heavy,0,14,14.0,17,113
heavy,0,15,15.0,6,114
heavy,0,15,15.0,6,115
heavy,0,15,15.0,6,116
heavy,0,15,15.0,7,117
heavy,0,15,15.0,8,118
heavy,0,15,15.0,8,119
heavy,0,15,15.0,9,120
heavy,0,15,15.0,10,121
heavy,0,15,15.0,11,122
heavy,0,15,15.0,14,123
heavy,0,15,15.0,17,124
heavy,0,16,16.0,1,125
heavy,0,16,16.0,4,126
heavy,0,16,16.0,6,127
heavy,0,16,16.0,8,128
heavy,0,16,16.0,8,129
heavy,0,16,16.0,13,130
heavy,0,16,16.0,14,131
heavy,0,16,16.0,16,132
heavy,0,16,16.0,17,133
heavy,0,17,17.0,0,134
heavy,0,17,17.0,0,135
heavy,0,17,17.0,3,136
heavy,0,17,17.0,4,137
heavy,0,17,17.0,4,138
heavy,0,17,17.0,5,139
heavy,0,17,17.0,6,140
heavy,0,17,17.0,6,141
heavy,0,17,17.0,8,142
heavy,0,17,17.0,9,143
heavy,0,17,17.0,11,144
heavy,0,17,17.0,13,145
heavy,0,17,17.0,14,146
heavy,0,17,17.0,14,147
heavy,0,18,18.0,2,148
heavy,0,18,18.0,3,149
heavy,0,18,18.0,4,150
heavy,0,18,18.0,7,151
heavy,0,18,18.0,8,152
heavy,0,18,18.0,8,153
